x	y
20.7	-56.2
1.43	-60.8
4.29	64.7
20.2	-62.1
0.637	-68.8
12.9	-67.6
11.6	-44.7
-12	-59.5
-5.86	-48.9
7.65	-37.3
-22.2	-47.2
-21.4	-46.5
13	-43.3
3.9	-46.9
-54.3	-5.04
-54	-5.47
-54.3	-4.63
3.7	-38.6
-10.6	-34.9
26.7	-41.8
13.8	-48.6
11.8	-37.8
6.69	-48.3
24.7	-45.4
6.59	-48
-31.3	-17.6
-31.3	-16.7
-32.9	-20.8
5.82	-35.5
13.1	-33.4
2.77	-43.4
-5.83	-36
1.49	-29.2
-7.66	-40.5
-7.57	-43.8
24.9	-47.5
7.44	-49.6
21	-64
14	-66.9
-31.3	-16.5
-34.7	-22.6
8.97	-37
-5.37	-48.5
10.6	-52.5
1.81	-63
22.4	-61.5
10.1	-59.8
11.2	-44.4
-2.16	-57.5
24.7	-46.4
18	-55.7
24.5	-46.9
13.5	-66.7
26.6	-41.8
6.93	-39.3
-31.3	-16.4
-34.1	-22.9
25.9	-43.8
25.2	-45.3
14	-66.9
24.9	-47.5
14	-66.9
21	-64
7.71	-47.8
5.06	-45.4
24.9	-47.5
7.44	-49.6
24.9	-47.5
12.8	-38.5
7.44	-49.6
21	-64
14	-66.9
12	-39
1.02	-62.6
0.779	-28.5
-13.1	-34.9
15.1	-36.2
-2.17	-43.6
24.6	-49.9
10.2	-59.3
25.2	-45.7
5.74	-50
9.91	-36.7
3.31	-40.3
-0.46	-28.3
-11.3	-59.3
2.9	-60.6
2.45	-64.2
13.1	-56.7
3.49	-62.3
42.7	10.4
35.3	1.73
67.8	13.6
30.5	-8.64
28.5	-11.3
28.8	37.6
67.7	24
47.3	8.9
41.6	9.67
31.5	37.5
42.2	8.32
47.9	14.1
66.3	0.969
42.5	8.47
42.4	9.74
55.9	14.4
36.1	39.3
52.4	16.1
29	43.8
40.6	9.4
37.3	38.8
29.8	43.1
30.8	-6.74
33.1	38.5
35.4	37.2
54.7	17
22	-67.7
64.3	23.7
51.2	20.6
39.7	38.9
41.5	-0.973
48.7	4.21
29.9	40.9
29.2	39.6
65.3	8.42
45.2	7.68
57.5	-1.83
47.9	8.03
56.4	13.6
42	9.68
65.3	8.43
50.1	13.3
28.4	-6.41
29	41.6
16.8	-38
42.3	9.61
43.1	8.07
65.3	8.46
30.3	41.8
43	9.75
68.9	21.1
68.5	7.94
29.3	0.986
50.6	12.7
50	-1.17
27.2	44.5
36.5	39.1
27.9	44.5
34.3	37.3
27.4	44.9
31.2	41.4
-7.25	-71.9
-2.95	-51.6
-10.5	18.8
-9.38	20.8
63.4	-1.77
66	4.1
69.5	22
-12.7	17.1
69	21.1
4.3	53.1
27.3	-36.9
63.8	23.4
-18.8	12.7
51.5	12.3
20.9	3.59
-42.5	13.1
48.1	5.49
-44.4	14
58.9	13.9
-17.8	21.8
-18.1	22.5
-42.3	12.8
51.7	12.4
-43.6	14.3
-42.1	13.3
-39	8.77
-9.88	-20.2
54.4	15.4
65.4	8.4
63.3	-1.71
50.3	10.4
53.7	-3.27
16.5	-2.6
14.3	-1.66
36.5	11.8
30.4	3.64
48.8	7.21
48.5	22.6
10.7	24.8
5.96	31.4
3.92	33
53	37.5
34.3	42.8
63.6	23.7
61.1	18.5
47.9	14.5
8.89	-6.04
50.4	16.7
37.1	36.7
38.6	36.3
42.7	23.2
59	14.8
45.6	8.98
66.5	24
27.3	-36.9
42.5	11.7
40	6.16
39.6	5.21
69.4	23.4
51.3	12.5
34.2	12.9
54	13.8
67.5	6.19
34.7	11.8
8.63	31.4
50.7	12.6
60.8	0.858
60.5	-3.63
68.1	3.8
34.3	11.3
30.3	41.2
67.5	6.27
52.6	12.1
64.2	2.28
63.6	-1.28
56.3	-4.97
65.6	4.52
66.5	5.93
65.9	0.66
63.8	1.62
63.1	0.825
65.7	4.5
34.9	-52.6
55	-5.5
63.8	1.7
66.6	1.78
67.6	1.45
64.3	2.23
66.2	1.36
66.6	5.5
65.3	3.77
61.6	0.0659
65.5	6.38
62.1	-1.81
34.2	13.2
67.8	10.4
67.3	5.73
34	12.4
34.6	12.9
32.8	9.08
66.4	0.906
69.3	9.62
66.2	7.36
35	11.7
30.5	31.8
11.8	26.8
48.5	4.84
16.6	-2.3
38.2	9.87
67.5	13.6
60.5	-3.49
68.3	11.3
69.6	10.4
68.2	7.04
67.5	18.3
62.9	-2.78
18.1	4.51
67.5	18.3
62.9	-2.78
67.4	15.3
67.6	15.7
67.4	12.9
64.3	-2.28
67.4	12.9
67.8	15.3
67.7	15.1
67.9	12.9
67.8	15.2
67.6	12.6
67.5	12.9
63.9	0.979
64	0.757
54.2	-3.1
64.5	-1.82
58	-2.13
67.5	6.18
61.5	-2.67
46.2	6.39
61.7	-2.9
58.1	-4.45
67.5	6.11
60.3	-2.2
59.8	-1.22
29.2	15.1
69.9	10.3
64.4	-1.71
64.7	-1.35
33.6	12.4
30.4	31.4
17.5	2.16
49.9	12.5
68.6	7.78
63.4	-1.82
64.2	1.51
64.7	0.851
64	1.66
62.5	0.63
54.4	8.17
47.7	6.16
55.6	-4.98
17.5	2.16
63.3	0.317
61.4	-2.01
67.6	10.7
66.7	8.14
66	7.25
46.6	6.93
60.7	-2.64
61.4	-2.09
50.7	12.9
66.5	8.09
58.1	-4.36
66.1	7.33
68.2	11.3
58.5	18.1
48.1	19.8
67	8.71
40.5	7.87
50.6	13.4
38.9	7.39
69.1	6.39
60.3	19.8
60.1	16.7
28.1	42.6
57.1	17.4
63.8	23.4
65.3	1.5
64.4	3.44
34.6	40.6
65.1	20.2
67.6	10.4
60.8	20.3
65.1	20.1
41.5	7.44
58.2	18.6
68	7.03
42.5	-6.02
46	5.43
67.4	23.3
62.1	-1.87
49.2	12.8
58.1	-4.36
66.1	7.3
67.7	10.3
37.7	39.2
67.1	9.35
61.3	19.1
61.8	15.6
57.5	18.3
59	15.7
69	8.85
62.1	20.6
45.6	7.32
39.9	-2.51
57.4	18.6
62.7	0.157
58.5	18
67.3	9.65
61.9	-1.03
54.4	13.9
66.2	10.2
57.7	14.9
60.8	20.1
37.6	40.2
34.7	42
69.8	22.4
34.3	42.1
37.9	40.1
69.7	23.9
69.7	23.9
69.4	24.3
69.2	23.8
66.7	8.65
50.7	17.9
67.2	7.16
68.8	23.5
67.7	22.8
67.6	16.6
48.5	22.3
67.8	16.5
65.3	3.8
66.2	11.4
67.5	15.1
67.1	10.8
